iter	Passed	Remaining
0	0	43
1	0	43
2	1	43
3	1	43
4	2	43
5	2	43
6	3	42
7	3	42
8	4	41
9	4	41
10	6	51
11	6	50
12	7	49
13	7	47
14	8	47
15	8	46
16	9	45
17	9	44
18	10	43
19	10	42
20	11	41
21	11	41
22	12	40
23	12	39
24	12	38
25	13	38
26	13	37
27	14	36
28	14	36
29	15	35
30	15	34
31	15	33
32	16	33
33	16	32
34	17	31
35	17	31
36	18	31
37	18	30
38	19	30
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	22	26
46	23	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	34	13
71	34	13
72	35	12
73	35	12
74	36	12
75	36	11
76	36	11
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	40	6
86	41	6
87	41	5
88	42	5
89	42	4
90	43	4
91	43	3
92	44	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
