iter	Passed	Remaining
0	53	53641
1	54	27095
2	54	18253
3	55	13817
4	56	11156
5	56	9381
6	57	8209
7	58	7259
8	59	6517
9	59	5918
10	60	5424
11	60	5019
12	61	4670
13	62	4375
14	62	4119
15	63	3890
16	63	3694
17	64	3515
18	65	3356
19	66	3261
20	67	3137
21	67	3022
22	68	2917
23	69	2817
24	69	2724
25	70	2638
26	71	2559
27	71	2486
28	72	2429
29	73	2368
30	73	2307
31	74	2250
32	75	2199
33	75	2151
34	76	2104
35	76	2060
36	77	2016
37	78	1977
38	106	2632
39	142	3408
40	142	3333
41	142	3260
42	143	3192
43	143	3126
44	144	3070
45	146	3038
46	149	3040
47	150	2983
48	150	2929
49	151	2877
50	151	2826
51	155	2840
52	156	2799
53	157	2754
54	157	2713
55	158	2672
56	159	2632
57	159	2598
58	162	2591
59	163	2553
60	163	2518
61	164	2482
62	164	2448
63	165	2414
64	165	2384
65	167	2370
66	168	2343
67	169	2316
68	169	2290
69	170	2261
70	171	2237
71	172	2217
72	172	2192
73	173	2167
74	174	2146
75	174	2123
76	175	2102
77	176	2081
78	176	2059
79	177	2042
80	178	2024
81	179	2006
82	179	1982
83	180	1963
84	180	1943
85	181	1924
86	181	1907
87	182	1890
88	182	1872
89	183	1855
90	184	1838
91	184	1822
92	185	1806
93	185	1792
94	186	1779
95	187	1765
96	187	1749
97	188	1735
98	189	1720
99	189	1707
100	190	1693
101	190	1680
102	191	1667
103	192	1654
104	192	1644
105	193	1632
106	194	1623
107	195	1611
108	195	1599
109	196	1587
110	196	1575
111	197	1563
112	197	1551
113	198	1540
114	198	1529
115	199	1519
116	199	1508
117	200	1501
118	201	1493
119	202	1483
120	202	1472
121	203	1462
122	203	1452
123	204	1443
124	204	1433
125	205	1424
126	205	1414
127	206	1406
128	207	1399
129	207	1391
130	208	1384
131	209	1377
132	210	1369
133	210	1361
134	211	1352
135	211	1343
136	211	1335
137	212	1327
138	213	1320
139	213	1313
140	214	1305
141	214	1298
142	215	1292
143	216	1285
144	216	1278
145	217	1271
146	217	1264
147	218	1257
148	218	1250
149	219	1244
150	220	1238
151	220	1231
152	221	1225
153	221	1219
154	222	1213
155	223	1207
156	223	1200
157	224	1194
158	224	1188
159	225	1181
160	225	1174
161	225	1168
162	226	1161
163	226	1155
164	227	1149
165	227	1143
166	228	1137
167	228	1131
168	229	1126
169	229	1121
170	230	1116
171	230	1111
172	231	1105
173	231	1099
174	232	1094
175	232	1088
176	233	1083
177	233	1078
178	233	1072
179	234	1067
180	234	1062
181	235	1057
182	235	1052
183	236	1047
184	236	1043
185	237	1039
186	238	1035
187	238	1030
188	239	1025
189	239	1020
190	239	1016
191	240	1011
192	240	1007
193	241	1002
194	241	997
195	242	993
196	242	988
197	243	984
198	243	980
199	244	976
200	244	972
201	245	968
202	245	964
203	246	960
204	246	956
205	247	952
206	247	948
207	248	944
208	248	940
209	248	936
210	249	932
211	249	928
212	250	924
213	250	921
214	251	918
215	252	914
